Date,Team,Opponent,Covered,Prediction,Vegas Line,Result,Prediction
4/10/2022,WAS,CHO,0,0,WAS 13.0,CHO -13,CHO -13
4/10/2022,MEM,BOS,0,1,MEM 9.0,BOS -9,MEM 9.0
4/10/2022,CLE,MIL,1,0,CLE -8.5,CLE -8.5,MIL 8
4/10/2022,DEN,LAL,0,0,DEN -6.0,LAL 6,LAL 6
4/10/2022,PHO,SAC,0,0,PHO -10.0,SAC 10,SAC 10
4/10/2022,DET,PHI,0,0,DET 6.5,PHI -6,PHI -6
4/10/2022,NYK,TOR,1,1,NYK 0.0,NYK 0.0,NYK 0.0
4/10/2022,SAS,DAL,0,1,SAS 10.0,DAL -10,SAS 10.0
4/10/2022,LAC,OKC,1,1,LAC -11.5,LAC -11.5,LAC -11.5
4/10/2022,CHI,MIN,0,0,CHI -13.0,MIN 13,MIN 13
4/10/2022,GSW,NOP,1,1,GSW -7.0,GSW -7.0,GSW -7.0
4/10/2022,DAL,SAS,0,1,DAL -10.0,SAS 10,DAL -10.0
4/10/2022,MIA,ORL,0,1,MIA -7.0,ORL 7,MIA -7.0
4/10/2022,ORL,MIA,1,0,ORL 7.0,ORL 7.0,MIA -7
4/10/2022,MIL,CLE,0,1,MIL 8.5,CLE -8,MIL 8.5
4/10/2022,TOR,NYK,0,0,TOR -0.0,NYK 0,NYK 0
4/10/2022,HOU,ATL,0,1,HOU 12.0,ATL -12,HOU 12.0
4/10/2022,PHI,DET,1,1,PHI -6.5,PHI -6.5,PHI -6.5
4/10/2022,IND,BRK,1,1,IND 16.5,IND 16.5,IND 16.5
4/10/2022,OKC,LAC,0,0,OKC 11.5,LAC -11,LAC -11
4/10/2022,POR,UTA,0,0,POR 17.0,UTA -17,UTA -17
4/10/2022,BOS,MEM,1,1,BOS -9.0,BOS -9.0,BOS -9.0
4/10/2022,CHO,WAS,1,0,CHO -13.0,CHO -13.0,WAS 13
4/10/2022,NOP,GSW,0,1,NOP 7.0,GSW -7,NOP 7.0
4/10/2022,UTA,POR,1,0,UTA -17.0,UTA -17.0,POR 17
4/10/2022,SAC,PHO,1,0,SAC 10.0,SAC 10.0,PHO -10
4/10/2022,ATL,HOU,1,0,ATL -12.0,ATL -12.0,HOU 12
4/10/2022,BRK,IND,0,0,BRK -16.5,IND 16,IND 16
4/10/2022,MIN,CHI,0,0,MIN -7.0,CHI 7,CHI 7
4/10/2022,LAL,DEN,1,0,LAL 6.0,LAL 6.0,DEN -6
4/9/2022,IND,PHI,1,1,IND 14.5,IND 14.5,IND 14.5
4/9/2022,SAS,GSW,1,1,SAS 7.5,SAS 7.5,SAS 7.5
4/9/2022,GSW,SAS,0,1,GSW -7.5,SAS 7,GSW -7.5
4/9/2022,SAC,LAC,0,0,SAC 11.5,LAC -11,LAC -11
4/9/2022,MEM,NOP,1,0,MEM -8.0,MEM -8.0,NOP 8
4/9/2022,PHI,IND,0,0,PHI -14.5,IND 14,IND 14
4/9/2022,LAC,SAC,1,1,LAC -11.5,LAC -11.5,LAC -11.5
4/9/2022,NOP,MEM,0,1,NOP 8.0,MEM -8,NOP 8.0
4/8/2022,DET,MIL,0,1,DET 10.5,MIL -10,DET 10.5
4/8/2022,OKC,LAL,0,0,OKC 6.0,LAL -6,LAL -6
4/8/2022,POR,DAL,0,0,POR 20.0,DAL -20,DAL -20
4/8/2022,CHO,CHI,1,0,CHO 2.5,CHO 2.5,CHI -2
4/8/2022,LAL,OKC,1,0,LAL -6.0,LAL -6.0,OKC 6
4/8/2022,BRK,CLE,1,0,BRK -8.5,BRK -8.5,CLE 8
4/8/2022,UTA,PHO,0,1,UTA -3.0,PHO 3,UTA -3.0
4/8/2022,WAS,NYK,0,0,WAS 3.5,NYK -3,NYK -3
4/8/2022,HOU,TOR,1,1,HOU 11.5,HOU 11.5,HOU 11.5
4/8/2022,MIA,ATL,1,1,MIA -1.5,MIA -1.5,MIA -1.5
4/8/2022,DAL,POR,1,0,DAL -20.0,DAL -20.0,POR 20
4/8/2022,MIL,DET,1,0,MIL -10.5,MIL -10.5,DET 10
4/8/2022,CHI,CHO,0,0,CHI 2.5,CHO -2,CHO -2
4/8/2022,TOR,HOU,0,0,TOR -11.5,HOU 11,HOU 11
4/8/2022,CLE,BRK,0,0,CLE 8.5,BRK -8,BRK -8
4/8/2022,ATL,MIA,0,1,ATL 1.5,MIA -1,ATL 1.5
4/8/2022,NYK,WAS,1,0,NYK -3.5,NYK -3.5,WAS 3
4/8/2022,PHO,UTA,1,0,PHO 3.0,PHO 3.0,UTA -3
4/7/2022,ORL,CHO,0,0,ORL 14.0,CHO -14,CHO -14
4/7/2022,TOR,PHI,1,1,TOR 3.5,TOR 3.5,TOR 3.5
4/7/2022,MEM,DEN,0,1,MEM 4.5,DEN -4,MEM 4.5
4/7/2022,PHI,TOR,0,1,PHI -3.5,TOR 3,PHI -3.5
4/7/2022,MIN,SAS,0,0,MIN -7.0,SAS 7,SAS 7
4/7/2022,BOS,MIL,1,1,BOS 8.5,BOS 8.5,BOS 8.5
4/7/2022,DEN,MEM,1,0,DEN -4.5,DEN -4.5,MEM 4
4/7/2022,GSW,LAL,1,0,GSW -14.0,GSW -14.0,LAL 14
4/7/2022,CHO,ORL,1,0,CHO -14.0,CHO -14.0,ORL 14
4/7/2022,LAL,GSW,0,0,LAL 14.0,GSW -14,GSW -14
4/7/2022,NOP,POR,1,0,NOP -17.5,NOP -17.5,POR 17
4/7/2022,POR,NOP,0,0,POR 17.5,NOP -17,NOP -17
4/7/2022,MIL,BOS,0,0,MIL -8.5,BOS 8,BOS 8
4/7/2022,SAS,MIN,1,1,SAS 7.0,SAS 7.0,SAS 7.0
4/6/2022,ATL,WAS,1,1,ATL -10.5,ATL -10.5,ATL -10.5
4/6/2022,BRK,NYK,1,0,BRK -7.0,BRK -7.0,NYK 7
4/6/2022,WAS,ATL,0,1,WAS 10.5,ATL -10,WAS 10.5
4/6/2022,OKC,UTA,0,1,OKC 15.5,UTA -15,OKC 15.5
4/6/2022,LAC,PHO,0,1,LAC -7.0,PHO 7,LAC -7.0
4/6/2022,UTA,OKC,1,0,UTA -15.5,UTA -15.5,OKC 15
4/6/2022,BOS,CHI,1,1,BOS -7.5,BOS -7.5,BOS -7.5
